"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4459","acfd839158efdf00ff1981229742dce910a783f6","D",2,2,7,1,6
"4460","18dd60035892c878f71862d9ad203fd52c02e783","D",2,12,1,1,4
"4461","18dd60035892c878f71862d9ad203fd52c02e783","D",2,12,2,1,65
"4462","18dd60035892c878f71862d9ad203fd52c02e783","D",2,12,3,1,4
"4463","bd9285dffe44c5aa2f5d7a35d814abfa7238d2f8","S",2,10,1,16,2
"4464","bd9285dffe44c5aa2f5d7a35d814abfa7238d2f8","S",2,10,5,16,1
"4465","4d013cdb48ebf05af8f0c041e79b7914f8f8d07b","M",2,14,5,538,6
"4466","34639cd7517dadec422ad76675dda3efa4d7bd54","D",2,14,2,1,14
"4467","cf57c4cfc57cd7fe6e9198d9dbdf114c9e5fd491","D",2,32,5,1,14
"4468","cf57c4cfc57cd7fe6e9198d9dbdf114c9e5fd491","D",2,32,9,1,13
"4469","d1fbc0a9aff7ab7adea8d68a05cf13641fc6c06b","D",2,14,2,1,5
"4470","28f9700f984c3c7e89b101ba48eced654b09b781","D",2,32,2,1,6
"4471","28f9700f984c3c7e89b101ba48eced654b09b781","D",2,32,3,1,17
"4472","b3444528a8c47a2a0583e2ee6cd6a86f0bbde62e","D",2,32,4,1,4
"4473","8d29a5cf89d77bfe299b7de1553740d43b3033f4","D",2,4,8,1,6
"4474","9cc31ca301c15bf8ab87770d737c3bed2ac319b6","D",1,14,2,1,22
"4475","fa9f322fef2f0d8b4d4fa16e0306c20837ea7e7f","D",2,2,8,1,11
"4476","c66c0203c086b1506c73df0ff7f44aba576bb1cd","D",2,14,1,1,4
"4477","233dd8a455dafd0ebfc51aa000f010632e502492","D",2,14,2,2,6
"4478","233dd8a455dafd0ebfc51aa000f010632e502492","D",2,14,4,2,3
"4479","bd6612a7bc60c8fac285e8b4df54093f556bc3ea","D",2,12,4,1,5
